_id,user_id,created_at,followers_count,friends_count,protected,location,verified,listed_count,favourites_count,statuses_count,default_profile,default_profile_picture,bot
goth_lyrics,969398693249126400,Fri Mar 02 02:27:13 +0000 2018,23,8,0,1,0,1,2,3792,0,0,1
transitingnow,2402022649,Fri Mar 21 19:10:39 +0000 2014,322,8,0,1,0,1,34,407226,0,0,1
TheRiddlerBot,2976541239,Tue Jan 13 15:10:45 +0000 2015,171,86,0,1,0,1,1933,15668,1,0,1
tiny_seas,4425828741,Wed Dec 09 11:01:43 +0000 2015,3374,9,0,1,0,1,15,5087,1,0,1
wordfindatron,817082622824169472,Thu Jan 05 18:57:32 +0000 2017,7,2,0,1,0,1,1,2813,0,0,1
NYPLEmoji,742447712105336832,Mon Jun 13 20:05:03 +0000 2016,3968,15,0,0,0,0,0,17685,0,0,1
CultureShip_bot,998140589420888064,Sun May 20 09:57:15 +0000 2018,277,25,0,0,0,0,5,3046,0,0,1
art_museum_bot,1020970182582460418,Sun Jul 22 09:53:55 +0000 2018,55,1,0,0,0,0,0,1961,1,0,1
WizardGenerator,718832664300625921,Sat Apr 09 16:07:17 +0000 2016,177,0,0,0,0,0,52,9166,1,0,1
VillanelleBot,3304794002,Mon Aug 03 04:05:31 +0000 2015,106,1,0,0,0,0,229,10279,1,0,1
omg_movies,3748550069,Wed Sep 23 10:43:05 +0000 2015,15,1,0,1,0,1,0,1246,1,0,1
ishipitbot,1047612356459724802,Wed Oct 03 22:20:24 +0000 2018,13,7,0,0,0,0,7,1951,0,0,1
LatostadoraBot,4331829388,Mon Nov 30 18:58:06 +0000 2015,101,81,0,1,0,1,20,23227,0,0,1
WikiPlotBot,1100190509073600513,Tue Feb 26 00:27:12 +0000 2019,22,1,0,1,0,1,0,445,0,0,1
whinygenealogy,920359296797429760,Tue Oct 17 18:42:10 +0000 2017,19,0,0,0,0,0,0,2513,1,0,1
CozinhaBot,837683262864637952,Fri Mar 03 15:17:08 +0000 2017,3274,9,0,0,0,0,35,19812,0,0,1
USDumpsterFire,1044725409953136640,Tue Sep 25 23:08:42 +0000 2018,8,24,0,1,0,1,2,2505,0,0,1
phl_abatements,1038811495549886464,Sun Sep 09 15:28:55 +0000 2018,436,1,0,1,0,1,5,3267,0,0,1
