Source,Target,Direction
1462977974,1382764358,Directed
922044478768271360,1382764358,Directed
2385709693,1382764358,Directed
2395130088,1382764358,Directed
969933867103727617,1382764358,Directed
288234488,1382764358,Directed
1957485836,1382764358,Directed
889468976002195457,1382764358,Directed
1052987240685756417,1382764358,Directed
1382764358,1520418900,Directed
1382764358,633772403,Directed
1382764358,4349627307,Directed
1382764358,57297232,Directed
1382764358,1156620560,Directed
1382764358,240457900,Directed
1382764358,2202669408,Directed
1382764358,1286039292,Directed
1382764358,1640038687,Directed
1382764358,593570736,Directed
1382764358,55951450,Directed
1382764358,814946895047094272,Directed
1382764358,2326123496,Directed
1382764358,604436742,Directed
1382764358,266894164,Directed
1382764358,891025089826881536,Directed
1382764358,2691092842,Directed
1382764358,717235860312166400,Directed
1382764358,1746238674,Directed
1382764358,2234608850,Directed
1382764358,1629733662,Directed
1382764358,958366921254195200,Directed
1382764358,703715542054608896,Directed
1382764358,758925291871883268,Directed
1382764358,3399290866,Directed
1382764358,520544176,Directed
1382764358,1183133300,Directed
1382764358,2330223926,Directed
1382764358,3196393964,Directed
1382764358,1621563445,Directed
1382764358,2856601655,Directed
1382764358,3292709727,Directed
1382764358,986816316,Directed
1382764358,344801362,Directed
1382764358,69597011,Directed
1382764358,722894273398587392,Directed
1382764358,2370447066,Directed
1382764358,2809623881,Directed
1382764358,889468976002195457,Directed
1382764358,1224740726,Directed
1382764358,1462977974,Directed
1382764358,922155116,Directed
1382764358,848603555451867137,Directed
1382764358,2361355697,Directed
1382764358,2282481214,Directed
1382764358,2234336261,Directed
1382764358,207958233,Directed
1382764358,932557124,Directed
1382764358,1092486498,Directed
1382764358,3513979647,Directed
1382764358,43061493,Directed
1382764358,486491210,Directed
1382764358,354281108,Directed
1382764358,72700060,Directed
1382764358,909843772816740354,Directed
1382764358,2539019799,Directed
1382764358,1202288300939239424,Directed
1382764358,711954068340674571,Directed
1382764358,100182356,Directed
1382764358,588974506,Directed
1382764358,2809902441,Directed
1382764358,55007258,Directed
1382764358,1691556446,Directed
1382764358,885615625879638016,Directed
1382764358,279185985,Directed
1382764358,423334971,Directed
1382764358,1203774390086881280,Directed
1382764358,2532908930,Directed
1382764358,487812237,Directed
1382764358,2798754771,Directed
1382764358,981514987423371265,Directed
1382764358,45623280,Directed
1382764358,1007400288,Directed
1382764358,819469681383837697,Directed
1382764358,2185175959,Directed
1382764358,1136771436,Directed
1382764358,1957485836,Directed
1382764358,247348607,Directed
1382764358,1114609803026935813,Directed
1382764358,958408776784252929,Directed
1382764358,899623928,Directed
1382764358,535750133,Directed
1382764358,920122238,Directed
1382764358,1611342338,Directed
1382764358,60064779,Directed
1382764358,1052987240685756417,Directed
1382764358,2304695672,Directed
1382764358,288234488,Directed
1382764358,522388936,Directed
1382764358,939794502,Directed
1382764358,3398320341,Directed
1382764358,472275856,Directed
1382764358,2409590173,Directed
1382764358,983004786634182656,Directed
1382764358,1038445710910402563,Directed
1382764358,1344338502,Directed
1382764358,954695038260383744,Directed
1382764358,855510938987966465,Directed
1382764358,1144616264,Directed
1382764358,1023182492,Directed
1382764358,997407114208440322,Directed
1382764358,789619711,Directed
1382764358,2481433288,Directed
1382764358,2352002358,Directed
1382764358,1035120213438685185,Directed
1382764358,60042304,Directed
1382764358,1712540598,Directed
1382764358,68979141,Directed
1382764358,1121980682,Directed
1382764358,2712579652,Directed
1382764358,2527697920,Directed
1382764358,2154883480,Directed
1382764358,236586896,Directed
1382764358,104453827,Directed
1382764358,2415691112,Directed
1382764358,1173077082,Directed
1382764358,501206830,Directed
1382764358,55224958,Directed
1382764358,900438287814459392,Directed
