Source,Target,Direction
920195966552158208,100182356,Directed
93027566,100182356,Directed
2843839340,100182356,Directed
1169147263484145666,100182356,Directed
186421326,100182356,Directed
1086008910,100182356,Directed
776108122557583360,100182356,Directed
1169128354701877248,100182356,Directed
848243562,100182356,Directed
232192611,100182356,Directed
2884700813,100182356,Directed
573109696,100182356,Directed
920170729911586816,100182356,Directed
1383668882,100182356,Directed
1169180559102418945,100182356,Directed
1189526872394293248,100182356,Directed
1145017891961671682,100182356,Directed
879693717740937217,100182356,Directed
573843586,100182356,Directed
534623649,100182356,Directed
948160647640092672,100182356,Directed
2909210463,100182356,Directed
2387605015,100182356,Directed
809072890528329729,100182356,Directed
1382764358,100182356,Directed
1049312230502748161,100182356,Directed
1169146051699322881,100182356,Directed
2574774714,100182356,Directed
3044562881,100182356,Directed
471452342,100182356,Directed
1169122850726453249,100182356,Directed
1043132318096023552,100182356,Directed
900391673766838273,100182356,Directed
1122870874451763201,100182356,Directed
61780948,100182356,Directed
1220702788713361408,100182356,Directed
743040785520701441,100182356,Directed
774695190225383424,100182356,Directed
778686083542298625,100182356,Directed
782868231191138304,100182356,Directed
768803944332156928,100182356,Directed
978494421011501056,100182356,Directed
1193805535763718144,100182356,Directed
252999216,100182356,Directed
115404768,100182356,Directed
1169146494827540481,100182356,Directed
3236143406,100182356,Directed
944847836952383488,100182356,Directed
3092667819,100182356,Directed
1169147797054078976,100182356,Directed
1171126159108706304,100182356,Directed
1158719667558653954,100182356,Directed
1169516433765781504,100182356,Directed
2260681322,100182356,Directed
3511766296,100182356,Directed
1169521933253304320,100182356,Directed
1055724528,100182356,Directed
1169144407498600454,100182356,Directed
912127063661756416,100182356,Directed
100182356,747807250819981312,Directed
100182356,2356642926,Directed
100182356,88203872,Directed
100182356,461958686,Directed
100182356,522122949,Directed
100182356,16589206,Directed
100182356,2438198119,Directed
100182356,104419788,Directed
100182356,18948706,Directed
100182356,1138785552558374912,Directed
100182356,324756443,Directed
100182356,2937526001,Directed
100182356,358136787,Directed
100182356,14763734,Directed
100182356,1014954325,Directed
100182356,19037652,Directed
100182356,61780948,Directed
100182356,8775672,Directed
100182356,80676829,Directed
100182356,867433738510249984,Directed
100182356,11855222,Directed
100182356,2884803649,Directed
100182356,14224719,Directed
100182356,375146901,Directed
100182356,726069582494994432,Directed
100182356,1056932786228129792,Directed
100182356,4785548481,Directed
100182356,3127702426,Directed
100182356,1324263482,Directed
100182356,2217099931,Directed
100182356,741273989381795844,Directed
100182356,1968450668,Directed
100182356,840519380920332288,Directed
